X 113 vars=V0:100,V2:20,V4:724,V6:422,V6:470,V7:430,V9:366,V10:5,V10:486,V11:510 unsat=C1:101,C1:357
X 114 vars=V0:100,V2:84,V4:588,V6:414,V7:190,V7:438,V8:398,V10:518,V11:294,V11:349 unsat=C2:477,C2:605
X 115 vars=V0:100,V2:92,V4:116,V6:414,V8:22,V9:237,V9:310,V10:430,V11:462,V11:710 unsat=C1:365,C1:493
X 116 vars=V0:100,V2:244,V4:164,V6:533,V6:630,V7:654,V8:566,V8:614,V9:574,V11:510 unsat=C2:117,C2:629
X 117 vars=V0:100,V2:276,V4:468,V7:190,V8:406,V8:590,V9:110,V10:5,V10:270,V11:302 unsat=C2:37,C2:549
X 118 vars=V0:100,V2:548,V4:180,V7:190,V8:310,V8:469,V9:590,V10:294,V10:502,V11:510 unsat=C0:53,C0:565
X 119 vars=V0:100,V2:548,V4:692,V6:230,V6:414,V7:190,V8:213,V8:350,V9:126,V11:270 unsat=C1:245,C1:501
X 120 vars=V0:100,V2:636,V4:620,V6:414,V7:437,V7:446,V8:566,V9:86,V9:334,V10:550 unsat=C0:565,C0:693
X 121 vars=V0:100,V2:756,V4:164,V6:277,V6:670,V7:190,V9:590,V10:294,V10:478,V11:510 unsat=C0:53,C0:565
X 122 vars=V0:108,V2:28,V4:476,V6:46,V6:606,V7:54,V9:502,V10:205,V10:622,V11:134 unsat=C1:301,C1:557
X 123 vars=V0:108,V2:92,V4:340,V6:38,V7:326,V7:574,V8:22,V10:654,V11:293,V11:686 unsat=C2:421,C2:549
X 124 vars=V0:108,V2:284,V4:220,V7:326,V8:30,V8:214,V9:246,V10:205,V10:406,V11:694 unsat=C2:493,C2:749
X 125 vars=V0:108,V2:300,V4:188,V7:326,V8:446,V8:669,V9:214,V10:126,V10:430,V11:134 unsat=C0:253,C0:765
X 126 vars=V0:108,V2:300,V4:700,V6:38,V6:622,V7:326,V8:413,V8:486,V9:518,V11:406 unsat=C1:189,C1:445
X 127 vars=V0:108,V2:388,V4:372,V6:38,V7:582,V7:637,V8:702,V9:478,V9:726,V10:686 unsat=C0:125,C0:765
X 128 vars=V0:108,V2:508,V4:684,V6:221,V6:294,V7:326,V9:214,V10:430,V10:614,V11:134 unsat=C0:253,C0:765
X 129 vars=V0:108,V2:612,V4:124,V6:38,V8:158,V9:181,V9:702,V10:54,V11:78,V11:598 unsat=C1:309,C1:437
X 130 vars=V0:108,V2:764,V4:684,V6:254,V6:477,V7:22,V8:238,V8:702,V9:710,V11:134 unsat=C2:61,C2:573
X 131 vars=V0:116,V2:36,V4:228,V6:438,V6:742,V7:446,V9:638,V10:405,V10:758,V11:526 unsat=C1:501,C1:757
X 132 vars=V0:116,V2:52,V4:196,V7:462,V8:101,V8:582,V9:606,V10:518,V10:566,V11:526 unsat=C0:197,C0:453
X 133 vars=V0:116,V2:52,V4:708,V6:246,V6:430,V7:462,V8:613,V8:622,V9:142,V11:542 unsat=C1:133,C1:389
X 134 vars=V0:116,V2:100,V4:92,V6:430,V7:462,V7:710,V8:414,V10:22,V11:237,V11:310 unsat=C2:365,C2:493
X 135 vars=V0:116,V2:140,V4:124,V6:430,V7:69,V7:718,V8:70,V9:102,V9:350,V10:54 unsat=C0:197,C0:325
X 136 vars=V0:116,V2:260,V4:436,V6:165,V6:686,V7:462,V9:606,V10:566,V10:750,V11:526 unsat=C0:197,C0:453
X 137 vars=V0:116,V2:292,V4:740,V7:462,V8:422,V8:606,V9:382,V10:405,V10:542,V11:318 unsat=C2:437,C2:693
X 138 vars=V0:116,V2:364,V4:132,V6:430,V8:294,V9:125,V9:326,V10:446,V11:214,V11:734 unsat=C1:253,C1:381
X 139 vars=V0:116,V2:516,V4:436,V6:421,V6:646,V7:158,V8:70,V8:630,V9:78,V11:526 unsat=C2:5,C2:517
