X 162 vars=V0:26,V2:518,V4:256,V7:148,V9:446,V11:242 unsat=C2:366,C2:438
X 163 vars=V0:27,V1:170,V2:318,V3:612,V4:480,V5:624 unsat=C0:29,C0:137
X 164 vars=V0:27,V1:171,V2:546,V3:473,V4:189,V5:159 unsat=C1:8,C1:116
X 165 vars=V0:27,V1:645,V2:513,V3:9,V4:384,V5:311 unsat=C2:494,C2:602
X 166 vars=V0:27,V2:87,V4:617,V7:545,V9:447,V11:459 unsat=C2:43,C2:115
X 167 vars=V0:27,V2:341,V4:615,V7:387,V9:399,V11:53 unsat=C1:55,C1:631
X 168 vars=V0:27,V2:589,V4:217,V7:589,V9:99,V11:361 unsat=C0:29,C0:605
X 169 vars=V0:28,V1:106,V2:190,V3:334,V4:169,V5:168 unsat=C2:243,C2:351
X 170 vars=V0:28,V1:172,V2:7,V3:6,V4:514,V5:592 unsat=C1:81,C1:189
X 171 vars=V0:28,V1:243,V2:535,V3:289,V4:373,V5:517 unsat=C0:102,C0:642
X 172 vars=V0:28,V2:230,V4:74,V7:446,V9:136,V11:2 unsat=C0:570,C0:642
X 173 vars=V0:28,V2:304,V4:330,V7:294,V9:448,V11:28 unsat=C2:368,C2:440
X 174 vars=V0:28,V2:486,V4:400,V7:172,V9:400,V11:234 unsat=C1:92,C1:164
X 175 vars=V0:29,V1:173,V2:116,V3:187,V4:191,V5:377 unsat=C1:154,C1:262
X 176 vars=V0:29,V1:215,V2:515,V3:11,V4:602,V5:25 unsat=C2:100,C2:640
X 177 vars=V0:29,V1:316,V2:104,V3:614,V4:266,V5:410 unsat=C0:67,C0:607
X 178 vars=V0:29,V2:519,V4:579,V7:303,V9:173,V11:291 unsat=C0:535,C0:607
X 179 vars=V0:29,V2:521,V4:43,V7:43,V9:449,V11:245 unsat=C2:45,C2:117
X 180 vars=V0:29,V2:631,V4:185,V7:605,V9:401,V11:415 unsat=C1:201,C1:273
X 181 vars=V0:30,V1:174,V2:225,V3:368,V4:516,V5:162 unsat=C1:227,C1:335
X 182 vars=V0:30,V1:324,V2:192,V3:336,V4:387,V5:530 unsat=C2:389,C2:497
X 183 vars=V0:30,V1:389,V2:321,V3:291,V4:159,V5:303 unsat=C0:32,C0:572
X 184 vars=V0:30,V2:90,V4:404,V7:440,V9:450,V11:462 unsat=C2:370,C2:442
X 185 vars=V0:30,V2:128,V4:618,V7:390,V9:402,V11:596 unsat=C1:310,C1:382
X 186 vars=V0:30,V2:160,V4:436,V7:160,V9:210,V11:580 unsat=C0:500,C0:572
X 187 vars=V0:31,V1:175,V2:334,V3:549,V4:193,V5:595 unsat=C1:300,C1:408
X 188 vars=V0:31,V1:433,V2:517,V3:13,V4:172,V5:387 unsat=C2:138,C2:246
X 189 vars=V0:31,V1:462,V2:538,V3:616,V4:52,V5:196 unsat=C0:537,C0:645
X 190 vars=V0:31,V2:273,V4:403,V7:175,V9:403,V11:129 unsat=C1:419,C1:491
X 191 vars=V0:31,V2:307,V4:117,V7:189,V9:451,V11:31 unsat=C2:47,C2:119
X 192 vars=V0:31,V2:449,V4:293,V7:17,V9:247,V11:221 unsat=C0:465,C0:537
X 193 vars=V0:32,V1:176,V2:443,V3:82,V4:518,V5:380 unsat=C1:373,C1:481
X 194 vars=V0:32,V1:535,V2:107,V3:293,V4:593,V5:89 unsat=C0:502,C0:610
X 195 vars=V0:32,V1:542,V2:194,V3:338,V4:605,V5:244 unsat=C2:535,C2:643
X 196 vars=V0:32,V2:90,V4:150,V7:522,V9:284,V11:510 unsat=C0:430,C0:502
X 197 vars=V0:32,V2:418,V4:188,V7:608,V9:404,V11:310 unsat=C1:528,C1:600
